VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Pooja Joshi,74,F,0
2,1,Geetha Hegde,19,F,0
3,2,Roopa Sharma,53,F,0
4,2,Arun Hegde,40,M,0
5,3,Puneeth Kulkarni,30,M,0
6,3,Ramesh Patil,47,M,0
7,4,Rekha Yadav,37,F,0
8,4,Karthik Kumar,58,M,0
9,5,Asha Shetty,51,F,0
10,5,Basavaraj Kumar,43,M,0
11,6,Nithin Joshi,50,M,0
12,6,Santosh Patil,74,M,0
13,6,Sunil Gowda,23,M,0
14,7,Vijay Kulkarni,51,M,0
15,8,Pradeep Shetty,32,M,0
16,8,Asha Reddy,59,F,0
17,8,Anil Joshi,44,M,0
18,9,Kiran Hiremath,47,M,0
19,9,Anusha Hiremath,32,F,0
20,9,Kiran Sharma,63,M,0
21,10,Rashmi Shetty,48,F,0
22,10,Santosh Hiremath,59,M,0
23,11,Santosh Hiremath,57,M,0
24,12,Anil Gowda,80,M,0
25,12,Manjunath Patil,76,M,0
26,12,Anil Naik,56,M,0
27,13,Arun Desai,46,M,0
28,14,Swathi Hiremath,70,F,0
29,14,Shivakumar Naik,48,M,0
30,15,Shilpa Desai,52,F,0
31,16,Abhishek Hegde,67,M,0
32,16,Shruthi Joshi,72,F,0
33,16,Geetha Joshi,69,T,0
34,17,Sahana Kulkarni,44,F,0
35,17,Vijay Hiremath,43,M,0
36,17,Rakesh Shetty,58,M,0
37,18,Sunil Desai,79,M,0
38,18,Pooja Shetty,71,F,0
39,19,Anil Kulkarni,40,M,0
40,19,Darshan Sharma,32,M,0
41,19,Arun Desai,25,M,0
42,20,Puneeth Bhat,48,M,0
43,20,Basavaraj Gowda,32,M,0
44,21,Suma Joshi,31,F,0
45,21,Pradeep Reddy,36,M,0
46,22,Darshan Hiremath,47,M,0
47,22,Shivakumar Desai,32,M,0
48,22,Suma Gowda,44,F,0
49,23,Mahesh Desai,64,M,0
50,23,Rashmi Naik,24,F,0
51,23,Santosh Bhat,66,M,0
52,24,Divya Hegde,56,F,0
53,24,Ramesh Singh,24,M,0
54,25,Rekha Joshi,64,F,0
55,25,Rashmi Hegde,23,F,0
56,25,Mahesh Kulkarni,79,M,0
57,26,Karthik Patil,60,M,0
58,27,Anil Sharma,75,M,0
59,28,Prakash Bhat,56,M,0
60,28,Anusha Singh,58,F,0
61,29,Darshan Yadav,25,M,0
62,30,Roopa Joshi,53,F,0
63,31,Anil Hiremath,70,M,0
64,32,Nithin Hegde,80,M,0
65,32,Roopa Joshi,69,F,0
66,32,Pradeep Rao,52,M,0
67,33,Nithin Patil,56,M,0
68,33,Mahesh Desai,46,M,0
69,33,Prakash Desai,43,M,0
70,34,Ramya Desai,50,F,0
71,34,Sunil Naik,68,T,0
72,34,Vinay Desai,47,M,0
73,35,Ramesh Reddy,51,M,0
74,35,Kiran Naik,40,M,0
75,36,Manjunath Shetty,20,M,0
76,36,Swathi Kumar,67,F,0
77,36,Shruthi Sharma,74,F,0
78,37,Anil Hiremath,57,M,0
79,38,Karthik Yadav,26,M,0
80,38,Geetha Desai,20,F,0
81,39,Ramesh Bhat,63,M,0
82,39,Rakesh Bhat,56,M,0
83,39,Santosh Hegde,28,M,0
84,40,Karthik Kumar,30,M,0
85,41,Meghana Hegde,48,F,0
86,41,Swathi Kulkarni,25,F,0
87,42,Karthik Yadav,39,M,0
88,42,Darshan Gowda,79,M,0
89,42,Suma Sharma,48,F,0
90,43,Puneeth Patil,71,M,0
91,44,Anil Kumar,29,M,0
92,44,Geetha Yadav,50,F,0
93,44,Karthik Rao,80,M,0
94,45,Meghana Kumar,66,F,0
95,45,Pooja Singh,51,F,0
96,46,Rakesh Patil,53,M,0
97,47,Pradeep Rao,54,M,0
98,47,Suma Desai,58,F,0
99,48,Rekha Singh,61,F,0
100,49,Sangeetha Hegde,33,F,0
101,50,Rekha Bhat,69,F,0
102,51,Vinay Kumar,48,M,0
103,52,Vijay Hegde,59,M,0
104,52,Ramesh Naik,53,M,0
105,53,Sahana Patil,71,F,0
106,53,Kavya Gowda,44,F,0
107,53,Pooja Bhat,18,F,0
108,54,Abhishek Kulkarni,61,M,0
109,54,Basavaraj Patil,23,M,0
110,55,Ramesh Shetty,61,M,0
111,55,Kavya Rao,77,F,0
112,55,Sudeep Bhat,66,M,0
113,56,Mahesh Hiremath,45,M,0
114,56,Nithin Shetty,67,M,0
115,57,Pradeep Singh,47,M,0
116,58,Bhagya Naik,54,F,0
117,59,Geetha Hegde,46,F,0
118,59,Rashmi Kulkarni,38,F,0
119,60,Basavaraj Kulkarni,33,M,0
120,60,Pradeep Hiremath,22,M,0
121,60,Vinay Hiremath,52,M,0
122,61,Shilpa Hegde,60,T,0
123,61,Karthik Joshi,37,M,0
124,61,Vinay Naik,44,M,0
125,62,Ramesh Reddy,19,M,0
126,62,Ramya Naik,51,F,0
127,63,Arun Rao,41,M,0
128,63,Sunil Sharma,51,M,0
129,63,Nithin Hiremath,55,M,0
130,64,Kiran Singh,57,M,0
131,64,Manjunath Sharma,26,M,0
132,65,Pradeep Reddy,53,M,0
133,65,Rekha Patil,44,F,0
134,65,Pooja Singh,57,F,0
135,66,Rashmi Yadav,59,F,0
136,66,Basavaraj Bhat,52,M,0
137,66,Kiran Naik,54,M,0
138,67,Anil Hegde,53,M,0
139,67,Vijay Hegde,75,M,0
140,68,Sunil Kulkarni,28,T,0
141,69,Karthik Reddy,38,M,0
142,69,Nithin Bhat,59,M,0
143,70,Roopa Yadav,38,F,0
144,70,Basavaraj Shetty,33,M,0
145,70,Rekha Gowda,72,F,0
146,71,Shivakumar Rao,66,M,0
147,71,Darshan Gowda,55,T,0
148,72,Anusha Patil,33,F,0
149,72,Rakesh Patil,37,M,0
150,73,Sunil Shetty,49,M,0
151,73,Vijay Rao,41,M,0
152,74,Ramesh Yadav,32,M,0
153,75,Asha Desai,48,F,0
154,75,Nithin Naik,34,T,1
155,75,Abhishek Desai,50,M,0
156,76,Darshan Hiremath,32,M,0
157,76,Shivakumar Bhat,37,M,0
158,76,Geetha Hegde,40,F,0
159,77,Rakesh Joshi,72,M,0
160,78,Arun Naik,24,M,0
161,78,Rashmi Reddy,18,F,0
162,79,Mahesh Kumar,76,M,0
163,79,Darshan Patil,57,M,0
164,79,Anil Sharma,44,M,0
165,80,Sahana Hegde,42,F,0
166,80,Santosh Naik,30,M,0
167,81,Shruthi Desai,78,F,0
168,81,Sudeep Sharma,52,M,0
169,81,Suresh Patil,32,M,0
170,82,Geetha Reddy,39,F,0
171,82,Puneeth Yadav,68,M,0
172,82,Kiran Rao,63,M,0
173,83,Vinay Reddy,77,M,0
174,83,Suresh Naik,40,M,0
175,83,Suresh Hegde,46,M,0
176,84,Roopa Hiremath,24,F,0
177,84,Anusha Rao,46,F,0
178,85,Kiran Kumar,80,M,0
179,86,Anil Shetty,48,M,0
180,87,Vinay Naik,53,M,0
181,87,Prakash Yadav,79,M,0
182,87,Meghana Naik,48,F,0
183,88,Suresh Shetty,42,M,0
184,88,Sunil Singh,59,M,0
185,88,Sahana Yadav,33,F,0
186,89,Meghana Patil,29,F,0
187,89,Santosh Hiremath,20,M,0
188,90,Sahana Desai,56,F,0
189,90,Pooja Kulkarni,52,F,0
190,91,Shilpa Gowda,33,F,0
191,91,Puneeth Sharma,55,M,0
192,92,Swathi Yadav,46,F,0
193,93,Prakash Hiremath,55,M,0
194,93,Shivakumar Desai,53,M,0
195,94,Abhishek Patil,55,M,0
196,95,Arun Rao,78,M,0
197,95,Suresh Naik,40,M,0
198,95,Suma Hegde,41,F,0
199,96,Rashmi Bhat,30,F,0
200,97,Arun Kumar,53,M,0
201,97,Kiran Kumar,30,M,0
202,98,Darshan Kumar,64,M,0
203,99,Rashmi Yadav,71,F,0
204,99,Santosh Reddy,36,M,0
205,99,Sudeep Kumar,67,M,0
206,100,Karthik Joshi,50,M,0
207,100,Vinay Joshi,44,T,0
208,100,Kavya Kulkarni,41,F,0
209,101,Suresh Desai,70,M,0
210,101,Nithin Singh,35,M,0
211,101,Meghana Yadav,59,F,0
212,102,Rashmi Sharma,76,F,0
213,102,Asha Patil,22,F,0
214,103,Ramya Sharma,57,F,0
215,104,Manjunath Shetty,55,M,0
216,105,Karthik Naik,30,M,0
217,105,Rekha Desai,52,F,0
218,105,Meghana Bhat,56,F,0
219,106,Rakesh Singh,51,M,0
220,106,Vijay Gowda,46,M,0
221,106,Pradeep Sharma,59,M,0
222,107,Shivakumar Bhat,80,M,0
223,107,Ramya Hegde,63,F,0
224,107,Vijay Yadav,61,M,0
225,108,Shilpa Naik,53,F,0
226,108,Prakash Kulkarni,52,M,0
227,109,Nithin Patil,45,M,0
228,109,Puneeth Joshi,18,M,0
229,109,Rashmi Patil,27,F,0
230,110,Shruthi Reddy,60,F,0
231,110,Basavaraj Naik,79,M,0
232,110,Geetha Reddy,42,F,0
233,111,Kiran Patil,23,M,0
234,112,Pooja Desai,77,F,0
235,113,Vinay Hiremath,52,M,0
236,114,Suresh Kumar,40,M,0
237,115,Pooja Joshi,57,F,0
238,116,Arun Sharma,50,M,0
239,116,Abhishek Kulkarni,34,M,0
240,117,Vinay Bhat,65,M,0
241,117,Kavya Naik,66,F,0
242,118,Puneeth Hiremath,59,M,0
243,118,Suresh Joshi,42,M,0
244,118,Nithin Desai,70,M,0
245,119,Shivakumar Sharma,48,M,0
246,119,Pradeep Gowda,33,M,0
247,119,Puneeth Bhat,58,M,0
248,120,Pradeep Bhat,55,M,0
249,120,Sahana Joshi,35,F,0
250,121,Ramya Sharma,75,F,0
251,122,Pradeep Desai,73,M,0
252,122,Abhishek Sharma,68,M,0
253,122,Vinay Reddy,45,M,0
254,123,Arun Sharma,34,M,0
255,124,Meghana Yadav,23,F,0
256,125,Shilpa Desai,60,T,0
257,126,Divya Singh,77,F,0
258,127,Swathi Singh,79,F,0
259,127,Abhishek Hegde,79,M,0
260,127,Shruthi Sharma,25,F,0
261,128,Roopa Bhat,67,F,0
262,129,Sahana Singh,38,F,0
263,129,Sudeep Hiremath,55,M,0
264,130,Bhagya Yadav,72,F,0
265,130,Darshan Sharma,69,M,1
266,131,Shivakumar Kumar,54,M,0
267,132,Sunil Hiremath,35,M,0
268,132,Roopa Singh,44,F,0
269,132,Rashmi Naik,60,F,0
270,133,Asha Joshi,53,F,0
271,133,Bhagya Rao,55,F,0
272,134,Pradeep Kulkarni,56,M,0
273,134,Mahesh Kumar,44,M,0
274,135,Rekha Joshi,26,F,0
275,136,Sangeetha Shetty,71,F,0
276,136,Sunil Hiremath,22,M,0
277,136,Sunil Hiremath,71,M,0
278,137,Ramesh Reddy,38,M,0
279,137,Mahesh Patil,57,M,0
280,138,Anusha Rao,49,F,0
281,138,Kavya Patil,40,F,0
282,139,Rakesh Kulkarni,52,M,0
283,140,Geetha Kumar,51,F,0
284,140,Rashmi Kulkarni,38,F,0
285,140,Karthik Shetty,20,M,0
286,141,Ramesh Shetty,71,M,0
287,141,Sahana Reddy,24,F,0
288,141,Sudeep Kumar,51,M,0
289,142,Arun Kumar,42,M,0
290,142,Swathi Desai,79,F,0
291,142,Shruthi Patil,80,F,0
292,143,Vinay Kumar,64,M,0
293,144,Pradeep Yadav,77,M,0
294,144,Anusha Gowda,58,F,0
295,145,Suresh Hiremath,46,M,0
296,145,Rashmi Sharma,47,F,0
297,145,Vinay Kumar,47,M,0
298,146,Anusha Kumar,61,F,0
299,147,Sunil Sharma,57,M,0
300,148,Sunil Desai,57,M,0
301,149,Shruthi Patil,33,F,0
302,149,Vijay Hiremath,65,M,0
303,149,Mahesh Desai,58,M,0
304,150,Bhagya Kumar,57,F,0
305,151,Basavaraj Joshi,27,M,0
306,151,Puneeth Gowda,66,M,0
307,152,Puneeth Kumar,37,M,0
308,152,Shruthi Joshi,60,F,0
309,153,Bhagya Patil,51,F,0
310,153,Ramesh Naik,51,M,0
311,153,Suresh Hiremath,51,T,0
312,154,Rakesh Kumar,74,M,0
313,154,Basavaraj Rao,63,M,0
314,155,Vijay Gowda,56,M,0
315,156,Roopa Patil,23,F,0
316,156,Nithin Shetty,66,M,0
317,157,Vinay Shetty,48,M,0
318,157,Rekha Yadav,56,F,0
319,157,Vinay Desai,77,M,0
320,158,Basavaraj Kumar,18,M,0
321,158,Swathi Shetty,37,F,0
322,159,Prakash Kulkarni,54,M,0
323,159,Arun Gowda,31,M,0
324,159,Mahesh Shetty,80,M,0
325,160,Roopa Singh,71,F,0
326,160,Anil Rao,25,M,0
327,161,Rekha Hegde,27,F,0
328,161,Prakash Bhat,31,M,0
329,161,Prakash Reddy,18,M,0
330,162,Sudeep Desai,47,M,0
331,162,Anil Naik,35,M,0
332,162,Sangeetha Singh,31,F,0
333,163,Bhagya Shetty,80,F,0
334,163,Rashmi Shetty,70,F,0
335,164,Suresh Kulkarni,52,M,0
336,164,Abhishek Naik,53,M,0
337,165,Darshan Gowda,54,M,0
338,166,Anil Gowda,37,M,0
339,166,Basavaraj Hegde,52,M,0
340,167,Geetha Desai,37,F,0
341,167,Meghana Naik,52,F,0
342,167,Arun Desai,31,M,0
343,168,Anil Kulkarni,28,M,0
344,168,Rekha Joshi,21,F,0
345,169,Sunil Joshi,72,M,0
346,169,Ramya Bhat,60,F,0
347,170,Rakesh Rao,36,M,0
348,170,Kavya Joshi,54,F,0
349,171,Swathi Hegde,35,F,0
350,171,Basavaraj Hiremath,47,M,0
351,172,Santosh Shetty,21,M,0
352,173,Rakesh Shetty,50,M,0
353,174,Basavaraj Gowda,77,M,0
354,174,Darshan Hegde,75,M,0
355,175,Rekha Hiremath,75,F,0
356,175,Meghana Shetty,74,F,0
357,176,Rakesh Gowda,31,M,0
358,176,Ramesh Hiremath,33,M,0
359,177,Ramesh Kulkarni,70,M,0
360,178,Shivakumar Hiremath,38,M,0
361,178,Bhagya Bhat,38,F,0
362,179,Rekha Yadav,52,F,0
363,180,Basavaraj Kumar,38,M,0
364,180,Darshan Sharma,45,M,0
365,180,Kavya Patil,50,F,0
366,181,Vijay Patil,74,M,0
367,182,Prakash Sharma,73,M,0
368,183,Anil Naik,59,M,0
369,184,Basavaraj Gowda,57,M,0
370,184,Kiran Patil,39,M,0
371,184,Santosh Kumar,55,M,0
372,185,Sunil Yadav,38,M,0
373,185,Rakesh Sharma,46,M,0
374,186,Pradeep Singh,65,M,0
375,187,Ramya Kulkarni,29,F,0
376,188,Rashmi Singh,77,F,0
377,188,Arun Hegde,59,M,0
378,189,Santosh Patil,59,M,0
379,190,Rashmi Shetty,27,F,0
380,190,Prakash Hegde,22,M,0
381,190,Nithin Shetty,18,M,0
382,191,Basavaraj Sharma,25,M,0
383,192,Karthik Desai,50,M,0
384,192,Sunil Rao,55,M,0
385,192,Darshan Desai,28,M,0
386,193,Prakash Kulkarni,41,M,0
387,194,Sahana Hegde,29,F,0
388,195,Ramesh Patil,45,M,0
389,196,Sunil Desai,41,M,0
390,197,Bhagya Gowda,80,F,0
391,198,Kiran Reddy,47,M,0
392,198,Mahesh Kulkarni,53,M,0
393,199,Shivakumar Shetty,25,M,0
394,199,Vinay Reddy,65,M,0
395,200,Rakesh Reddy,25,M,0
396,200,Basavaraj Bhat,19,M,0
397,201,Meghana Joshi,52,F,0
398,201,Bhagya Gowda,78,F,0
399,202,Manjunath Patil,26,M,0
400,202,Vinay Gowda,66,M,0
401,203,Pradeep Yadav,35,M,0
402,204,Shilpa Hegde,35,F,0
403,204,Meghana Yadav,31,F,0
404,204,Anil Kulkarni,45,M,0
405,205,Pooja Kumar,72,F,0
406,205,Ramya Joshi,61,F,0
407,206,Kavya Kumar,28,F,0
408,206,Sunil Rao,59,M,0
409,207,Kiran Hegde,56,M,0
410,208,Sunil Bhat,41,M,0
411,208,Anil Gowda,59,M,0
412,208,Kavya Naik,34,F,0
