AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,"Manjunath Yadav",24,M,A1
2,1,"Rakesh Bhat",28,M,A2
3,1,"Meghana Singh",28,F,A3
4,2,"Swathi Gowda",26,F,A1
5,2,"Vijay Naik",35,M,A2
6,2,"Anil Naik",27,M,A3
7,3,"Puneeth Kumar",35,M,A1
8,3,"Prakash Kulkarni",30,M,A2
9,4,"Ramesh Joshi",48,M,A1
10,4,"Vijay Shetty",21,M,A2
11,4,"Anil Shetty",25,M,A3
12,4,"Santosh Naik",42,M,A4
13,5,"Santosh Sharma",27,M,A1
14,6,"Santosh Kulkarni",34,M,A1
15,7,"Puneeth Sharma",34,M,A1
16,7,"Vinay Yadav",35,M,A2
17,7,"Pradeep Hegde",23,M,A3
18,8,"Manjunath Singh",26,M,A1
19,8,"Vijay Singh",31,M,A2
20,8,"Anil Singh",49,M,A3
21,8,"Sahana Naik",37,T,A4
22,9,"Pradeep Hegde",50,M,A1
23,9,"Anil Sharma",46,M,A2
24,10,"Karthik Singh",34,M,A1
25,10,"Arun Gowda",32,M,A2
26,11,"Suresh Naik",29,M,A1
27,11,"Pradeep Reddy",63,M,A2
28,11,"Anil Gowda",21,M,A3
29,11,"Darshan Naik",25,M,A4
30,12,"Shivakumar Gowda",47,M,A1
31,12,"Puneeth Shetty",31,M,A2
32,12,"Pradeep Joshi",29,M,A3
33,12,"Vijay Reddy",31,M,A4
34,13,"Kavya Kulkarni",20,F,A1
35,13,"Suresh Kulkarni",33,M,A2
36,14,"Karthik Singh",27,M,A1
37,14,"Shivakumar Hiremath",53,M,A2
38,14,"Manjunath Joshi",34,M,A3
39,15,"Ramesh Kulkarni",25,M,A1
40,15,"Rashmi Hiremath",33,F,A2
41,15,"Pradeep Reddy",57,M,A3
42,15,"Kavya Desai",34,F,A4
43,16,"Asha Shetty",20,F,A1
44,16,"Darshan Kumar",26,M,A2
45,17,"Kiran Gowda",21,M,A1
46,17,"Karthik Shetty",31,M,A2
47,17,"Prakash Naik",20,M,A3
48,18,"Anil Singh",33,M,A1
49,18,"Basavaraj Kumar",27,M,A2
50,18,"Nithin Yadav",38,M,A3
51,19,"Kiran Reddy",33,M,A1
52,20,"Sunil Gowda",29,M,A1
53,21,"Vinay Shetty",27,M,A1
54,21,"Shivakumar Shetty",33,M,A2
55,22,"Manjunath Kumar",26,M,A1
56,22,"Anil Hegde",35,M,A2
57,23,"Sudeep Singh",25,M,A1
58,23,"Asha Desai",23,F,A2
59,23,"Prakash Shetty",29,M,A3
60,23,"Puneeth Shetty",23,M,A4
61,24,"Sangeetha Hegde",22,F,A1
62,24,"Sunil Patil",22,M,A2
63,24,"Ramesh Desai",22,M,A3
64,24,"Puneeth Hiremath",21,T,A4
65,25,"Geetha Yadav",61,F,A1
66,25,"Basavaraj Hegde",23,M,A2
67,26,"Kiran Bhat",22,M,A1
68,26,"Mahesh Gowda",25,M,A2
69,26,"Vijay Kumar",24,M,A3
70,27,"Santosh Rao",20,M,A1
71,27,"Abhishek Singh",34,M,A2
72,28,"Pradeep Rao",56,M,A1
73,28,"Basavaraj Sharma",53,M,A2
74,28,"Prakash Reddy",25,M,A3
75,29,"Kavya Naik",23,T,A1
76,29,"Darshan Bhat",35,M,A2
77,29,"Vijay Singh",22,M,A3
78,30,"Suresh Reddy",49,M,A1
79,30,"Prakash Naik",36,M,A2
80,30,"Abhishek Yadav",22,M,A3
81,30,"Prakash Gowda",35,M,A4
82,31,"Kiran Rao",61,M,A1
83,31,"Basavaraj Rao",22,M,A2
84,31,"Kavya Kulkarni",26,F,A3
85,32,"Karthik Desai",32,M,A1
86,33,"Rakesh Desai",31,M,A1
87,33,"Basavaraj Patil",32,M,A2
88,33,"Shivakumar Rao",27,M,A3
89,33,"Rakesh Patil",27,M,A4
90,34,"Shilpa Joshi",63,F,A1
91,34,"Vinay Sharma",24,T,A2
92,34,"Rakesh Shetty",38,M,A3
93,34,"Arun Kulkarni",28,M,A4
94,35,"Vijay Yadav",54,M,A1
95,35,"Darshan Singh",31,T,A2
96,35,"Arun Rao",26,M,A3
97,36,"Darshan Kulkarni",22,M,A1
98,36,"Vinay Bhat",30,M,A2
99,37,"Ramesh Rao",35,M,A1
100,37,"Darshan Hegde",38,M,A2
101,37,"Geetha Bhat",50,F,A3
102,37,"Rakesh Reddy",27,M,A4
103,38,"Prakash Singh",29,M,A1
104,38,"Nithin Singh",31,M,A2
105,38,"Anil Sharma",35,M,A3
106,39,"Arun Joshi",57,M,A1
107,39,"Karthik Hiremath",30,M,A2
108,39,"Darshan Kumar",32,M,A3
109,40,"Manjunath Desai",23,M,A1
110,40,"Basavaraj Gowda",28,M,A2
111,40,"Vinay Naik",55,M,A3
112,40,"Santosh Hiremath",27,M,A4
113,41,"Ramesh Bhat",30,M,A1
114,41,"Nithin Hegde",47,M,A2
115,41,"Mahesh Joshi",26,M,A3
116,41,"Anil Naik",37,M,A4
117,42,"Pooja Desai",59,F,A1
118,42,"Sudeep Joshi",62,M,A2
119,42,"Vinay Naik",27,M,A3
120,43,"Vinay Naik",21,M,A1
121,44,"Kiran Kulkarni",35,M,A1
122,44,"Prakash Singh",23,M,A2
123,44,"Basavaraj Joshi",18,M,A3
124,45,"Kiran Kulkarni",20,M,A1
125,45,"Abhishek Patil",34,M,A2
126,45,"Prakash Kulkarni",29,M,A3
127,45,"Darshan Sharma",31,M,A4
128,46,"Kiran Singh",26,M,A1
129,46,"Prakash Singh",47,M,A2
130,47,"Suresh Patil",22,M,A1
131,48,"Prakash Bhat",32,M,A1
132,49,"Karthik Patil",44,M,A1
133,49,"Shruthi Naik",23,F,A2
134,49,"Shivakumar Patil",21,M,A3
135,49,"Sudeep Patil",29,M,A4
136,50,"Vinay Rao",33,M,A1
137,50,"Mahesh Hiremath",38,M,A2
138,50,"Anil Hiremath",35,M,A3
139,51,"Kiran Shetty",41,M,A1
140,51,"Sudeep Patil",21,M,A2
141,52,"Nithin Naik",29,M,A1
142,52,"Mahesh Kulkarni",35,M,A2
143,53,"Nithin Naik",30,M,A1
144,53,"Basavaraj Sharma",31,M,A2
145,53,"Vijay Rao",52,M,A3
146,54,"Arun Yadav",28,M,A1
147,54,"Prakash Yadav",29,M,A2
148,54,"Darshan Naik",28,M,A3
149,54,"Nithin Shetty",32,M,A4
150,55,"Basavaraj Hegde",23,M,A1
151,55,"Anusha Kumar",62,F,A2
152,56,"Suresh Desai",33,M,A1
153,56,"Santosh Hiremath",38,M,A2
154,56,"Manjunath Kulkarni",33,M,A3
155,57,"Darshan Hiremath",23,M,A1
156,57,"Asha Desai",24,F,A2
157,58,"Nithin Gowda",32,M,A1
158,59,"Puneeth Yadav",29,M,A1
159,59,"Sunil Naik",49,M,A2
160,59,"Karthik Bhat",32,M,A3
161,60,"Basavaraj Sharma",33,M,A1
162,60,"Nithin Desai",26,M,A2
163,60,"Shivakumar Gowda",47,M,A3
164,60,"Anil Shetty",44,M,A4
165,61,"Shivakumar Desai",21,M,A1
166,62,"Anil Yadav",23,M,A1
167,62,"Rashmi Desai",34,F,A2
168,62,"Mahesh Sharma",34,M,A3
169,63,"Puneeth Yadav",26,M,A1
170,63,"Manjunath Kumar",22,M,A2
171,64,"Shivakumar Bhat",27,M,A1
172,64,"Darshan Hiremath",24,M,A2
173,64,"Vijay Rao",35,M,A3
174,65,"Rakesh Sharma",20,M,A1
175,65,"Ramesh Joshi",29,M,A2
176,65,"Vijay Reddy",28,M,A3
177,65,"Mahesh Patil",46,M,A4
178,66,"Pradeep Rao",26,M,A1
179,66,"Vinay Desai",25,M,A2
180,66,"Anil Joshi",50,M,A3
181,67,"Suresh Hiremath",28,M,A1
182,67,"Asha Sharma",20,F,A2
183,67,"Suresh Singh",31,M,A3
184,67,"Nithin Kumar",31,M,A4
185,68,"Rakesh Gowda",45,M,A1
186,69,"Abhishek Yadav",23,M,A1
187,69,"Karthik Shetty",62,M,A2
188,69,"Prakash Singh",30,M,A3
189,69,"Ramya Bhat",27,T,A4
190,70,"Basavaraj Bhat",57,M,A1
191,70,"Pooja Reddy",23,F,A2
192,71,"Vijay Shetty",20,M,A1
193,71,"Rashmi Hiremath",54,F,A2
194,72,"Pradeep Yadav",23,M,A1
195,72,"Darshan Joshi",22,M,A2
196,72,"Darshan Hegde",22,M,A3
197,73,"Mahesh Joshi",24,M,A1
198,73,"Shilpa Gowda",33,F,A2
199,74,"Anusha Patil",32,F,A1
200,75,"Ramesh Rao",21,M,A1
201,75,"Rakesh Kulkarni",37,M,A2
202,75,"Manjunath Desai",29,M,A3
203,76,"Rashmi Joshi",27,F,A1
204,76,"Mahesh Singh",23,M,A2
205,77,"Rakesh Hegde",31,M,A1
206,78,"Suresh Naik",43,M,A1
207,78,"Sunil Rao",32,M,A2
208,79,"Basavaraj Shetty",28,M,A1
209,79,"Suresh Kumar",46,M,A2
210,79,"Kiran Reddy",34,M,A3
211,79,"Suma Hiremath",32,F,A4
212,80,"Prakash Naik",20,M,A1
213,80,"Mahesh Sharma",35,M,A2
214,81,"Kiran Reddy",27,T,A1
215,81,"Ramesh Naik",32,M,A2
216,81,"Puneeth Rao",30,M,A3
217,82,"Puneeth Hegde",24,M,A1
218,82,"Shilpa Desai",41,F,A2
219,83,"Anil Bhat",20,M,A1
220,83,"Geetha Patil",30,F,A2
221,84,"Rakesh Yadav",44,M,A1
222,85,"Suresh Shetty",35,M,A1
223,85,"Basavaraj Rao",33,M,A2
224,86,"Vinay Sharma",31,M,A1
225,86,"Ramesh Reddy",24,M,A2
226,86,"Santosh Sharma",20,M,A3
227,87,"Puneeth Desai",41,M,A1
228,87,"Rakesh Singh",28,M,A2
229,87,"Shivakumar Reddy",31,M,A3
230,88,"Puneeth Rao",30,M,A1
231,88,"Shivakumar Yadav",24,M,A2
232,89,"Anil Desai",34,M,A1
233,90,"Sunil Sharma",61,M,A1
234,90,"Rashmi Kulkarni",46,F,A2
235,90,"Pradeep Shetty",26,M,A3
236,91,"Ramesh Naik",21,M,A1
237,91,"Sunil Desai",50,M,A2
238,92,"Vinay Kumar",59,M,A1
239,93,"Sunil Kulkarni",63,M,A1
