ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,"Pooja Joshi",74,16,2,6,F
2,2,"Roopa Sharma",53,9,2,2,F
3,3,"Meghana Reddy",57,1,5,5,F
4,4,"Rekha Yadav",37,6,2,3,F
5,5,"Asha Shetty",51,5,3,3,F
6,6,"Nithin Joshi",50,19,5,1,M
7,7,"Rakesh Shetty",40,9,3,2,M
8,8,"Arun Bhat",42,7,5,9,M
9,9,"Kiran Hiremath",47,5,4,1,M
10,10,"Rashmi Shetty",48,18,4,6,F
11,11,"Santosh Hiremath",57,19,2,4,M
12,12,"Anil Gowda",80,7,5,5,M
13,13,"Arun Desai",46,6,3,8,M
14,14,"Santosh Naik",59,3,4,5,M
15,15,"Shilpa Desai",52,2,4,5,F
16,16,"Abhishek Hegde",67,1,2,1,M
17,17,"Sahana Kulkarni",44,3,2,5,F
18,18,"Sunil Desai",79,12,2,9,M
19,19,"Anil Kulkarni",40,14,5,10,M
20,20,"Puneeth Bhat",48,14,4,6,M
21,21,"Suma Joshi",31,17,3,1,F
22,22,"Vinay Hiremath",52,14,3,2,M
23,23,"Mahesh Desai",64,16,4,10,M
24,24,"Puneeth Rao",20,8,4,8,T
25,25,"Rekha Joshi",64,5,5,2,F
26,26,"Karthik Patil",60,5,5,7,M
27,27,"Anil Sharma",75,19,4,8,M
28,28,"Prakash Bhat",56,2,4,9,M
29,29,"Darshan Yadav",25,4,1,4,M
30,30,"Roopa Joshi",53,12,2,2,F
31,31,"Anil Hiremath",70,7,3,6,M
32,32,"Nithin Hegde",80,11,3,5,M
33,33,"Nithin Patil",56,4,1,3,M
34,34,"Ramya Desai",50,20,1,2,F
35,35,"Ramesh Reddy",51,10,1,5,M
36,36,"Manjunath Shetty",20,10,4,4,M
37,37,"Anil Hiremath",57,6,3,10,M
38,38,"Karthik Yadav",26,7,3,9,M
39,39,"Ramesh Bhat",63,10,5,6,M
40,40,"Karthik Kumar",30,14,2,7,M
41,41,"Meghana Hegde",48,13,3,3,F
42,42,"Karthik Yadav",39,10,3,5,M
43,43,"Puneeth Patil",71,10,1,1,M
44,44,"Anil Kumar",29,8,1,5,M
45,45,"Meghana Kumar",66,19,1,1,F
46,46,"Geetha Joshi",70,1,2,10,F
47,47,"Geetha Shetty",51,18,2,6,F
48,48,"Rekha Singh",61,13,2,4,F
49,49,"Sangeetha Hegde",33,17,2,7,F
50,50,"Rekha Bhat",69,14,4,9,F
51,51,"Manjunath Kumar",77,7,1,8,M
52,52,"Vijay Hegde",59,19,5,7,M
53,53,"Sahana Patil",71,2,5,10,F
54,54,"Abhishek Kulkarni",61,16,1,1,M
55,55,"Rekha Rao",54,8,5,7,F
56,56,"Mahesh Hiremath",45,3,1,5,M
57,57,"Pradeep Singh",47,1,1,6,M
58,58,"Bhagya Naik",54,6,2,5,F
59,59,"Geetha Hegde",46,16,3,3,F
60,60,"Bhagya Patil",68,12,5,10,F
61,61,"Shilpa Hegde",60,19,5,3,T
62,62,"Ramesh Reddy",19,18,4,8,M
63,63,"Arun Rao",41,15,5,3,M
64,64,"Kiran Singh",57,18,5,8,M
65,65,"Pradeep Reddy",53,8,2,10,M
66,66,"Rashmi Yadav",59,5,5,5,F
67,67,"Anil Hegde",53,4,4,1,M
68,68,"Mahesh Joshi",23,12,2,1,M
69,69,"Karthik Reddy",38,17,5,1,M
70,70,"Santosh Kumar",65,13,3,1,M
71,71,"Shivakumar Rao",66,2,1,7,M
72,72,"Anusha Patil",33,6,1,1,F
73,73,"Sunil Shetty",49,19,1,4,M
74,74,"Ramesh Yadav",32,11,3,2,M
75,75,"Shruthi Hiremath",57,10,1,4,F
76,76,"Darshan Hiremath",32,7,2,10,M
77,77,"Rakesh Joshi",72,10,5,1,M
78,78,"Arun Naik",24,8,2,4,M
79,79,"Mahesh Kumar",76,3,3,7,M
80,80,"Sahana Hegde",42,2,4,9,F
81,81,"Shruthi Desai",78,16,1,6,F
82,82,"Geetha Reddy",39,20,3,4,F
83,83,"Vinay Reddy",77,3,3,5,M
84,84,"Kiran Joshi",78,4,1,6,M
85,85,"Kiran Kumar",80,18,3,5,M
86,86,"Anil Shetty",48,13,4,8,M
87,87,"Vinay Naik",53,2,5,10,M
88,88,"Suresh Shetty",42,19,5,2,M
89,89,"Kavya Sharma",76,9,3,1,F
90,90,"Sahana Desai",56,17,5,1,F
91,91,"Shilpa Gowda",33,9,1,5,F
92,92,"Swathi Yadav",46,1,4,3,F
93,93,"Prakash Hiremath",55,10,1,8,M
94,94,"Kiran Bhat",53,1,4,5,M
95,95,"Arun Rao",78,4,4,1,M
96,96,"Asha Bhat",38,6,1,8,F
97,97,"Arun Kumar",53,8,2,6,M
98,98,"Darshan Kumar",64,4,3,1,M
99,99,"Rashmi Yadav",71,7,3,7,F
100,100,"Karthik Joshi",50,4,1,1,M
101,101,"Suresh Desai",70,5,1,3,M
102,102,"Rashmi Sharma",76,17,5,10,F
103,103,"Ramya Sharma",57,16,3,4,F
104,104,"Manjunath Shetty",55,10,5,9,M
105,105,"Karthik Naik",30,4,3,10,M
106,106,"Vinay Rao",53,5,1,7,M
107,107,"Pradeep Gowda",51,4,1,7,M
108,108,"Shivakumar Hegde",60,18,1,1,M
109,109,"Nithin Patil",45,20,3,8,M
110,110,"Shruthi Reddy",60,1,5,6,F
111,111,"Kiran Patil",23,9,5,2,M
112,112,"Pooja Desai",77,10,5,2,F
113,113,"Vinay Hiremath",52,7,3,4,M
114,114,"Suresh Kumar",40,10,5,3,M
115,115,"Basavaraj Shetty",53,3,1,9,M
116,116,"Arun Sharma",50,13,3,9,M
117,117,"Vinay Bhat",65,12,2,1,M
118,118,"Puneeth Hiremath",59,16,5,1,M
119,119,"Puneeth Joshi",77,6,5,7,M
120,120,"Pradeep Bhat",55,15,5,10,M
121,121,"Ramya Sharma",75,18,5,2,F
122,122,"Pradeep Desai",73,8,1,5,M
123,123,"Arun Sharma",34,13,2,2,M
124,124,"Meghana Yadav",23,3,5,1,F
125,125,"Shilpa Desai",60,17,1,2,T
126,126,"Divya Singh",77,6,4,9,F
127,127,"Swathi Singh",79,8,2,6,F
128,128,"Meghana Gowda",66,18,1,8,F
129,129,"Sahana Singh",38,9,2,9,F
130,130,"Bhagya Yadav",72,5,5,9,F
131,131,"Shivakumar Kumar",54,6,3,6,M
132,132,"Sunil Hiremath",35,3,2,3,M
133,133,"Asha Joshi",53,19,4,9,F
134,134,"Pradeep Kulkarni",56,8,2,7,M
135,135,"Rekha Joshi",26,8,1,3,F
136,136,"Geetha Singh",33,2,2,8,F
137,137,"Pradeep Hegde",30,6,3,10,M
138,138,"Anusha Rao",49,4,2,8,F
139,139,"Rakesh Kulkarni",52,6,5,6,M
140,140,"Geetha Kumar",51,2,2,2,F
141,141,"Ramesh Shetty",71,6,5,9,M
142,142,"Arun Kumar",42,5,3,1,M
143,143,"Vinay Kumar",64,16,2,8,M
144,144,"Pradeep Yadav",77,10,5,1,M
145,145,"Suresh Hiremath",46,8,2,2,M
146,146,"Anusha Kumar",61,3,1,1,F
147,147,"Sunil Sharma",57,1,4,10,M
148,148,"Sunil Desai",57,13,2,7,M
149,149,"Swathi Patil",58,9,4,1,F
150,150,"Bhagya Kumar",57,17,2,7,F
151,151,"Basavaraj Joshi",27,20,5,10,M
152,152,"Puneeth Kumar",37,7,2,2,M
153,153,"Rakesh Hiremath",74,10,3,8,M
154,154,"Rakesh Kumar",74,15,3,2,M
155,155,"Vijay Gowda",56,19,4,8,M
156,156,"Roopa Patil",23,10,4,3,F
157,157,"Vinay Shetty",48,17,4,8,M
158,158,"Basavaraj Kumar",18,1,1,6,M
159,159,"Nithin Rao",54,20,4,3,M
160,160,"Roopa Singh",71,7,1,8,F
161,161,"Rekha Hegde",27,20,1,6,F
162,162,"Sudeep Desai",47,2,1,7,M
163,163,"Bhagya Shetty",80,4,4,5,F
164,164,"Suresh Kulkarni",52,3,3,4,M
165,165,"Darshan Gowda",54,18,3,7,M
166,166,"Anil Gowda",37,18,2,3,M
167,167,"Geetha Desai",37,12,1,10,F
168,168,"Anil Kulkarni",28,19,1,5,M
169,169,"Abhishek Sharma",29,17,1,6,M
170,170,"Rakesh Rao",36,15,4,8,M
171,171,"Swathi Hegde",35,19,2,9,F
172,172,"Santosh Shetty",21,7,5,2,M
173,173,"Sangeetha Joshi",35,3,3,1,F
174,174,"Basavaraj Gowda",77,16,4,7,M
175,175,"Rekha Hiremath",75,5,1,4,F
176,176,"Rakesh Gowda",31,17,4,9,M
177,177,"Ramesh Kulkarni",70,6,5,2,M
178,178,"Shivakumar Hiremath",38,2,5,3,M
179,179,"Rekha Yadav",52,5,2,3,F
